ID,Definition
ALM,alm
ALM_IMPORT,alm_import
ANALYTICS_JOB,analytics_job
BULK_EDIT,bulk_edit
CALCULATE_NON_EXPOSURE_STORAGE_SIZE,calculate_non_exposure_storage_size
CLEANUP,CLEANUP
CLEANUP_ANALYSIS_DATA,periodic analysis data cleanup from s3
CLEANUP_TENANT_DATA,periodic data retention cleanup from s3
CLIMATE_CHANGE,CLIMATE_CHANGE
COMMIT_ACCOUNT,commitaccount
CONVERT_ACCOUNT_CURRENCY,convert_account_currency
CONVERT_AGGREGATE_PORTFOLIO_CURRENCY,convert_aggregate_portfolio_currency
CONVERT_CURRENCY_LOSS_POSTPROCESSOR,CONVERT_CURRENCY_LOSS_POSTPROCESSOR
CONVERT_EVENT_RATE_LOSS,CONVERT_EVENT_RATE_LOSS
CONVERT_PORTFOLIO_CURRENCY,convert_portfolio_currency
CONVERT_RESULT_CURRENCY,CONVERT_RESULT_CURRENCY
CONVERT_TREATY_CURRENCY,convert_treaty_currency
COPY_ACCOUNT,copy_account
COPY_AGGREGATE_PORTFOLIO,copy_aggregate_portfolio
COPY_PORTFOLIO,copy_portfolio
CREATE_EDM,create_edm_datasource
DATASTORE_OPERATION,datastoreoperation
DATA_BRIDGE_DATABASE_SYNC,DATA_BRIDGE_DATABASE_SYNC
DATA_BRIDGE_NOTIFICATION,DATA_BRIDGE_NOTIFICATION
DECOMMISSION_TENANT_DB_SERVER,DECOMMISSION_TENANT_DB_SERVER
DELETE_ACCOUNT,delete_account
DELETE_AGGREGATE_PORTFOLIO,delete_aggregate_portfolio
DELETE_EDM,delete_edm
DELETE_PORTFOLIO,delete_portfolio
DELETE_RDM,delete_rdm
DEREGISTER_DATA_BRIDGE_EDM,DEREGISTER_DATA_BRIDGE_EDM
DETACH_EDM,delete_edm
DLM,dlm
DOMAIN_DATA_LOAD,DOMAIN_DATA_LOAD
DOWNLOAD_DETACH_EDM,download_detach_edm
DOWNLOAD_EDM,download_edm
DOWNLOAD_LOCATION_RESULTS,DOWNLOAD_LOCATION_RESULTS
DOWNLOAD_RDM,parquet2rdm
DOWNLOAD_RESULTS,download_results
EDM2EDM,edm2edm
EDM_METRICS,edmmetrics
EDM_UPDATE,edm_update
ENABLE_TENANT_UDS_FEATURE,ENABLE_UDS
EPENGINE,epengine
EXPOSURE_MANAGEMENT,exposuremanagement
FINALIZE_ANALYSIS,delete_edm_copy
GEOCODING,geocoding
GEOHAZ,geohaz
GROUPING,grouping
GROUPING_LOSS_POSTPROCESSOR,grouping_post_processor
HAZARD,hazard
HD,hd
HD_ALM,HD_ALM
HD_ALM_GROUPING,HD_ALM_GROUPING
HD_ENGINE,hd_model_execution
HD_GROUPING,hd_grouping
HD_LOSS_POSTPROCESSOR,hd_loss_post_processor
HD_TO_RDM,HD_TO_RDM
IMPORT,import
IMPORT_RDM,rdm_import
LOSS_POSTPROCESSOR_ENGINE,loss_post_processor_engine
MAP_PERSPECTIVE,MAP_PERSPECTIVE
MIGRATE_TENANT_DATABASE_SERVER,Migrate Tenant Database Server
MRI_EXPORT,mri_export
MRI_IMPORT,mri_import
NOOP,noop
PATE,pate
POST_PROCESSOR,POST_PROCESSOR
PREPARE_EXPOSURE,copy_edm
PROCESS_RDM,PROCESS_RDM
PROVISION_TENANT_DB_SERVER,PROVISION_TENANT_DB_SERVER
REGISTER_DATA_BRIDGE_EDM,REGISTER_DATA_BRIDGE_EDM
REGISTER_TENANT_RESULTS,Register losses for existing tenant
RENAME_ANALYSIS,RENAME_ANALYSIS
REPORT_GENERATION,Generate Summary Reports
RERUN_EP,RERUN_EP
SIMULATE_LOSSES,SIMULATE_LOSSES
SIMULATION,SIMULATION
TENANT_DELETE,TENANT_DELETE
TENANT_JOB,tenant_onboard
TENANT_ONBOARD,TENANT_ONBOARD
TENANT_TASK_CLEANUP,purge older tenant task and subtask table data
TENANT_UPGRADE,TENANT_UPGRADE
UPDATE_RESULTS_COUNT,UPDATE_RESULTS_COUNT
UPLOAD_EDM,upload_edm_datasource
UPLOAD_RDM,UPLOAD_RDM
