ID,Definition
ENGINE-001,DEFAULT_ERROR
ENGINE-002,ILLEGAL_ENGINE_INPUT
ENGINE-003,ACCT_OP_NOT_SUPPORTED
ENGINE-004,RECORD_NOT_FOUND_IN_IMPORT_STORE
ENGINE-005,DATA_SOURCE_ALREADY_EXISTS
ENGINE-006,DATA_SOURCE_TOO_MANY
ENGINE-007,DATA_SOURCE_NOT_FOUND
ENGINE-008,DATA_SOURCE_BACKUP_ERROR
ENGINE-009,DATA_SOURCE_DELETE_ERROR
ENGINE-010,DATA_SOURCE_CREATE_ERROR
ENGINE-011,DATA_SOURCE_GET_ERROR
ENGINE-012,RDM_CREATE_FAILED
ENGINE-013,VALIDATIONS_FAILED
ENGINE-014,FAILED_AFTER_RETRIES
ENGINE-015,UNSUPPORTED_EXPOSURE_TYPE
ENGINE-016,BACKUP_STATUS_RETRIEVE_ERROR
ENGINE-017,BACKUP_CREATE_ERROR
ENGINE-018,LI_JOB_CANCELLED
ENGINE-019,MRI_VALIDATION_FAIL
ENGINE-020,ANALYSIS_JOB_NOT_FOUND
ENGINE-021,ANALYSIS_S3_FILE_NOT_FOUND
ENGINE-022,DB_OPERATION_FAILED
ENGINE-023,INVALID_DB_HOST
ENGINE-024,INVALID_DB_PORT
ENGINE-025,INVALID_DB_USER
ENGINE-026,INVALID_DB_PWD
ENGINE-027,INVALID_S3ACCESSKEY
ENGINE-028,INVALID_S3SECRET
ENGINE-029,INVALID_DBRDMKEY
ENGINE-030,INVALID_S3BUCKET
ENGINE-031,INVALID_S3DOWNLOADBUCKET
ENGINE-032,INVALID_TENANTID
ENGINE-033,INVALID_ANALYSISID
ENGINE-034,INVALID_USERID
ENGINE-035,INVALID_WORKFLOWID
ENGINE-036,INVALID_WORKFLOWSERVICEURL
ENGINE-037,INVALID_EXPIRATIONHOURS
ENGINE-038,INVALID_EDMBUCKETNAME
ENGINE-039,INVALID_BCP_BATCH_SIZE
ENGINE-040,INVALID_BCP_TIMEOUT
ENGINE-041,INVALID_DETAIL_LOSSES_EXPORT_VALUE
ENGINE-042,EVENT_RATES_ERROR
ENGINE-043,REQUEST_FORMAT_STRING
ENGINE-044,EVENT_RATES_DATASTORE_READ_ERROR
