ACCT-001,"We could not find account %d in this EDM."
ACCT-002,"Sorry\, you do not have access permissions for account %d. Check with your Administrator about getting access."
ACCT-003,"Processing or updating Account Id: %d not permitted since the account is being processed. Job id: %d"
ACCT-004,"No geocoded locations exist in account with id %d and number %s. Geocode this account before you run an analysis."
ACCT-005,"Ensure at least one location is geocoded before committing Account Id: %d"
ACCT-006,"No results available. Analysis Job Id: %d failed for Account Id: %d"
ACCT-007,"Currently processing Account ID: %d. Account cannot be processed or updated while it is in the Commit queue. Job ID: %d"
ACCT-008,"%s"
ACCT-404,"%s"
ACCT-500,"Sorry, we encountered an error retrieving account %d. Try again, and contact Support if this still does not work."
ACCT-501,"Sorry, we encountered an error checking if account %d exists. Try again, and contact Support if this still does not work."
ACCT-502,"Sorry, we encountered an error creating this account. Try again, and contact Support if this still does not work."
ACCT-503,"Database error occurred while retrieving account by Link Id: %s"
ACCT-504,"Sorry, we encountered an error retrieving information about account %d. Try again, and contact Support if this still does not work."
ACCT-505,"Sorry, we encountered an error deleting account %d. Try again, and contact Support if this still does not work."
ACCT-506,"Sorry, we encountered an error saving the changes for account %d. Try again, and contact Support if this still does not work."
ACCT-507,"Sorry, we encountered an error retrieving geographic information for account %d. Try again, and contact Support if this still does not work."
ACCT-508,"Sorry, we encountered an error copying account %d. Try again, and contact Support if this still does not work."
ACCT-509,"Database error occurred while mapping account id &d with user %d"
ACCT-510,"Database error occurred while saving account details for Account Id: %d"
ACCT-511,"Sorry, we encountered an error searching for accounts. Try again, and contact Support if this still does not work."
ACCT-512,"Sorry, we encountered an error looking up permissions for account %d. Try again, and contact Support if this still does not work."
ACCT-514,"Sorry, we encountered an error retrieving geocoding information for one or more locations in account %d. Try again, and contact Support if this still does not work."
ACCT-515,"Sorry, we encountered an error exporting account %d to the EDM you selected. Try again, and contact Support if this still does not work."
ACCT-516,"Sorry, we encountered an error checking the geocode status of account %d. Try again, and contact Support if this still does not work."
ACCT-517,"Sorry, we encountered an error for account %d matching locations to policy special conditions. Try again, and contact Support if this still does not work."
ACCT-518,"Database error occurred while fetching number of exposures for exposure type: ACCOUNT."
ACCT-519,"%s"
ACCT-520,"Error occurred with internal status code: %d while geocoding Account Id: %d"
ACCT-521,"Database error occurred while archiving account report for Account Id: %d"
ACCT-531,"Error occurred while retrieving reporting services for Account Id: %d. No services found."
ACCT-532,"Invalid output generated while processing Account Id: %d"
ACCT-533,"Process Account failed for Account Id: %d. %s"
ACCT-534,"Geocode Account failed for Account Id: %d. %s"
ACCT-535,"Invalid output generated while geocoding Account Id: %d"
ACCT-536,"Retrieve Reports failed for Account Id: %d. %s"
ACCT-537,"Invalid output generated while retrieving reports for Account Id: %d"
ACCT-538,"Sorry, we encountered an error converting currencies for account %d. Try again, and contact Support if this still does not work."
ACCT-539,"Failed to update Account metrics"
ACCT-540,"More than one location in account %d has latitude %f and longitude %f. Two locations in an account cannot have the same coordinates."
ACCT-541,"No locations in account %d have latitude %f and longitude %f. Check the coordinates or geocode the account again."
ACCT-542,"Sorry, we encountered an error performing a bulk edit on accounts for portfolio %d. Try again, and contact Support if this still does not work."
ACCU-001,"Accumulation details not found"
ACCU-002,"Forbidden"
ACCU-500,"Database error occurred while retrieving accumulation details for Portfolio Id: %d"
AGGEXP-401,"Sorry, we could not find aggregate exposure %d in this EDM."
AGGEXP-500,"Sorry, we encountered an error on our end. Try saving changes for aggregate exposure %d again, and contact Support if this still does not work."
AGGEXP-501,"Sorry, we encountered an error on our end. Try creating this aggregate exposure again, and contact Support if this still does not work."
AGGEXP-502,"Sorry, we encountered an error on our end. Try retrieving aggregate exposure %d again, and contact Support if this still does not work."
AGGEXP-503,"Sorry, we encountered an error on our end. Try searching for aggregate exposures again, and contact Support if this still does not work."
AGGEXP-504,"Sorry, we encountered an error on our end. Try deleting aggregate exposure %d again, and contact Support if this still does not work."
AGGEXP-505,"Sorry, we encountered an error on our end. Try copying aggregate exposure %d again, and contact Support if this still does not work."
AGGEXP-506,"Sorry, we encountered an error on our end finding aggregate exposure %d. Try again, and contact Support if this still does not work."
AGGEXP-507,"Sorry, we encountered an import error on our end. Try again, and contact Support if this still does not work."
AGGEXP-509,"Sorry, country code and resolution can not be null or empty."
AGGPORT-401,"We could not find aggregate portfolio %d in this EDM."
AGGPORT-402,"We were unable to save the aggregate portfolio because we could not find cedant %s in this EDM."
AGGPORT-404,"%s"
AGGPORT-500,"Sorry, we encountered an error saving the changes for aggregate portfolio %d. Try again, and contact Support if this still does not work."
AGGPORT-501,"Sorry, we encountered an error creating this aggregate portfolio. Try again, and contact Support if this still does not work."
AGGPORT-502,"Sorry, we encountered an error retrieving aggregate portfolio %d. Try again, and contact Support if this still does not work."
AGGPORT-503,"Sorry, we encountered an error searching for aggregate portfolios. Try again, and contact Support if this still does not work."
AGGPORT-504,"Sorry, we encountered an error deleting aggregate portfolio %d. Try again, and contact Support if this still does not work."
AGGPORT-505,"Sorry, we encountered an error copying aggregate portfolio %d. Try again, and contact Support if this still does not work."
AGGPORT-506,"Sorry, we encountered an error checking if aggregate portfolio %d exists. Try again, and contact Support if this still does not work."
AGGPORT-507,"Sorry, we encountered an error while submitting the convert currency job. Try again, and contact Support if this still does not work."
AGGPORT-508,"Sorry, we encountered an error retrieving information about aggregate portfolio %d. Try again, and contact Support if this still does not work."
AGGPORT-509,"Sorry, we encountered an error while submitting alm import job. Try again, and contact Support if this still does not work."
AGGPORT-510,"Sorry, we encountered an error retrieving geographic information for aggregate portfolio %d. Try again, and contact Support if this still does not work."
AGGPORT-511,"Sorry, this is an invalid resolution type: %s."
AGGPORT-512,"Sorry, we encountered an error retrieving ALM profiles for aggregate portfolio %d."
AGGPORT-513,"Sorry, we encountered an error during the convert currency job. Try again, and contact Support if this still does not work."
AGGPORT-514,"Database error occurred while fetching number of exposures for exposure type: AGGREGATE PORTFOLIO."
ALM-001,"Sorry, we encountered an error while running the ALM analysis job. Try again, and contact Support if this still does not work."
ALM-002,"Sorry, this profile request with peril %s isn't valid. Try again, and contact Support if this still does not work."
ALM-003,"Sorry, the analysis currency %s for this ALM analysis is invalid. Specify a valid currency and try again."
ALM-004,"Cannot find default event rate scheme"
ALM-005,"Invalid portfolioId: %s"
ALM-006,"Invalid profile ids: %s"
ALM-007,"Invalid treaty ids"
ALM-008,"Unable to load alm profiles"
ALM-009,"Unable to load currencies"
ALM-010,"Unable to load event rate scheme %s"
ALM-011,"Invalid value for %s"
ALM-401,"Database error occurred, ALM does not exists"
ALM-501,"Database error occurred while loading alms, reason : %s"
ANALYSIS-001,"Error occurred while generating the analysis id sequence"
ANALYSIS-002,"Database error occurred while inserting rdm analysis record for id : %d"
ANALYSIS-003,"Database error occurred while fetching the engine version for id : %d"
ANALYSIS-004,"Database error occurred while inserting the record for rdm analysis perspective"
ANALYSIS-005,"Invalid analysis id : %s"
ANALYSIS-006,"Database error occurred while fetching location AAL record for id : %d"
ANALYSIS-007,"Load database connection properties error"
ANALYSIS-008,"The perspective code %s is invalid. Please check that your requests specify a valid perspective."
ANALYSIS-009,"Perspective code %s is valid, but does not exist for analysis %d"
ANALYSIS-010,"Database error occurred while validating analysis and perspectives"
ANALYSIS-011,"Select one of the following options to export. Select one or more DLM/Group/ALM results or select a single HD result. Choosing multiple HD results or choosing DLM/Group/ALM results combined with HD results is not supported"
ANALYSIS-012,"Analysis ID %d is invalid. Check that your request specifies a valid analysis ID and that engine type is %s."
ANALYSIS-013,"Analysis ID %d is invalid for Location AAL request. Check that your request specifies a valid analysis ID and that engine type is DLM/HD."
